,created_at,id,full_text,gpe,latitude,longitude
469,Wed Jun 22 16:29:57 +0000 2022,1539646886797316096,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
470,Wed Jun 22 16:56:33 +0000 2022,1539653581812424704,at least 255 people have been killed and 500 others injured in an earthquake in    and  distri _locincl_,Ziruk,33.155823,69.326833
471,Wed Jun 22 16:38:22 +0000 2022,1539649005575352322,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
472,Wed Jun 22 16:38:22 +0000 2022,1539649005575352322,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
473,Thu Jun 23 00:54:44 +0000 2022,1539773918118121475,continúan las misiones de búsqueda y rescate tras el terremoto en los distritos de  y  de   ht _locincl_,Barmal,32.71433,69.275053
474,Thu Jun 23 00:54:44 +0000 2022,1539773918118121475,continúan las misiones de búsqueda y rescate tras el terremoto en los distritos de  y  de   ht _locincl_,Barmal,32.71433,69.275053
475,Thu Jun 23 02:09:54 +0000 2022,1539792835419013120,taliban has sent 6000 of their terrorists to fight hazara ethnic commander in  while 1000s people need help in  _locincl_,Balkhab,35.457987,66.602255
476,Thu Jun 23 06:28:52 +0000 2022,1539858006715912192,hundreds of people have been buried and hundreds of homes destroyed in a quake in  and  districts of  p _locincl_,Barmal,32.71433,69.275053
477,Thu Jun 23 06:28:52 +0000 2022,1539858006715912192,hundreds of people have been buried and hundreds of homes destroyed in a quake in  and  districts of  p _locincl_,Barmal,32.71433,69.275053
478,Thu Jun 23 04:39:25 +0000 2022,1539830461672857600,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
479,Thu Jun 23 04:39:25 +0000 2022,1539830461672857600,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
480,Thu Jun 23 07:00:08 +0000 2022,1539865873686507520,this is a small village of  area of   150 civilians have lost their lives and appro _locincl_,Bermal district,32.71433,69.275053
481,Wed Jun 22 22:40:15 +0000 2022,1539740074547417088,my family is in  other areas in   and  are also hit by earthquake and floods   _urlincl_ _locincl_,Gardez,33.5877097,69.2685645
482,Wed Jun 22 23:14:42 +0000 2022,1539748744329154560,it’s  ambulances in   are parked outside on the main street waiting to head to  to transfer the inju _locincl_,Gardez,33.5877097,69.2685645
483,Wed Jun 22 16:28:06 +0000 2022,1539646420072169472,ministry of defence has deployed six helicopters to move victims of the earthquake to  and  we need ten _locincl_,Gardez,33.5877097,69.2685645
484,Wed Jun 22 21:50:48 +0000 2022,1539727628461940736,ministry of defence has deployed six helicopters to move victims of the earthquake to  and  we need ten _locincl_,Gardez,33.5877097,69.2685645
485,Wed Jun 22 21:19:53 +0000 2022,1539719849550794752,it’s  ambulances in   are parked outside on the main street waiting to head to  to transfer the inju _locincl_,Gardez,33.5877097,69.2685645
486,Thu Jun 23 04:33:28 +0000 2022,1539828964218241025,at the  regional hospital ambulances from  pole alam and  are coming and going already at leas _locincl_,Logar,34.0653595,69.160172
487,Thu Jun 23 04:33:28 +0000 2022,1539828964218241025,at the  regional hospital ambulances from  pole alam and  are coming and going already at leas _locincl_,Logar,34.0653595,69.160172
488,Thu Jun 23 04:32:54 +0000 2022,1539828823117537280,at the  regional hospital ambulances from  pole alam and  are coming and going already at leas _locincl_,Logar,34.0653595,69.160172
489,Thu Jun 23 04:32:54 +0000 2022,1539828823117537280,at the  regional hospital ambulances from  pole alam and  are coming and going already at leas _locincl_,Logar,34.0653595,69.160172
490,Wed Jun 22 23:46:33 +0000 2022,1539756758931054592,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
491,Thu Jun 23 10:56:31 +0000 2022,1539925360997007361,this morning in two small villages in  district of  iom teams confirm at least 50 deaths a   _urlincl_ _locincl_,Barmal,32.71433,69.275053
492,Thu Jun 23 10:18:48 +0000 2022,1539915870482436096,video a small village in  district of  according to taliban 150 people lost their lives as a resu _locincl_,Bermal,32.71433,69.275053
493,Thu Jun 23 12:02:53 +0000 2022,1539942064904863746,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
494,Thu Jun 23 12:02:53 +0000 2022,1539942064904863746,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
495,Thu Jun 23 09:47:50 +0000 2022,1539908078845452288,this is  area of   as per sources on the ground 150 civilians lost their lives and aro _locincl_,Bermal district,32.71433,69.275053
496,Thu Jun 23 03:55:25 +0000 2022,1539819388848803842,it’s  ambulances in   are parked outside on the main street waiting to head to  to transfer the inju _locincl_,Gardez,33.5877097,69.2685645
497,Thu Jun 23 08:13:38 +0000 2022,1539884370588323840,afghan bread meat cooked in   at corps flown in helicopter for the victims thanks for sharing this   _urlincl_ _locincl_,Gardez,33.5877097,69.2685645
498,Thu Jun 23 12:13:25 +0000 2022,1539944713834434560,today unhcr rushed initial shelter supplies from  into the earthquake affected areas of  in   _locincl_,Bermal,32.71433,69.275053
499,Wed Jun 22 20:14:03 +0000 2022,1539703282066755591,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
500,Wed Jun 22 21:53:44 +0000 2022,1539728368773615619,lafghanistan sta ai terremoti come la  agli uragani residenti di  distretto di  in  p   _urlincl_ _locincl_,Bermal,32.71433,69.275053
501,Thu Jun 23 01:00:32 +0000 2022,1539775376305577985,taliban has sent 6000 of their terrorists to fight hazara ethnic commander in  while 1000s people need help in  _locincl_,Balkhab,35.457987,66.602255
502,Thu Jun 23 02:50:57 +0000 2022,1539803166753144832,taliban has sent 6000 of their terrorists to fight hazara ethnic commander in  while 1000s people need help in  _locincl_,Balkhab,35.457987,66.602255
503,Thu Jun 23 10:23:49 +0000 2022,1539917134725349378,this is a small village of  area of   150 civilians have lost their lives and appro _locincl_,Bermal district,32.71433,69.275053
504,Thu Jun 23 14:31:06 +0000 2022,1539979365265641473,ap villagers rushed to bury the dead thursday and dug by hand through the rubble of their ho   _urlincl_ _locincl_,GAYAN,32.975159,69.399302
505,Wed Jun 22 17:01:16 +0000 2022,1539654768968486912,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
506,Wed Jun 22 18:00:14 +0000 2022,1539669606691811335,search and rescue missions continuing after the earthquake in  and  districts of     _urlincl_ _locincl_,Barmal,32.71433,69.275053
507,Wed Jun 22 18:00:14 +0000 2022,1539669606691811335,search and rescue missions continuing after the earthquake in  and  districts of     _urlincl_ _locincl_,Barmal,32.71433,69.275053
508,Wed Jun 22 18:46:28 +0000 2022,1539681241313824768,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
509,Wed Jun 22 18:50:36 +0000 2022,1539682281882877955,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
510,Wed Jun 22 17:21:40 +0000 2022,1539659902763040768,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
511,Wed Jun 22 18:59:45 +0000 2022,1539684583393751041,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
512,Wed Jun 22 19:05:39 +0000 2022,1539686068206829570,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
